sample3;;sample4;
Wavelength (nm);%R;Wavelength (nm);Abs
800;933.614.254;800;1.029.862.761
799;936.677.742;799;1.028.105.855
798;9.369.363.785;798;1.027.761.221
797;9.397.416.115;797;1.027.444.124
796;9.359.018.326;796;1.027.670.264
795;9.371.596.336;795;1.026.569.009
794;9.385.168.076;794;1.026.805.162
793;9.401.832.581;793;1.027.936.697
792;9.374.412.537;792;1.025.943.518
791;9.383.859.634;791;10.264.678
790;93.960.886;790;1.027.440.906
789;9.411.147.118;789;1.025.572.419
788;9.406.199.455;788;1.025.520.682
787;9.393.787.384;787;1.026.164.293
786;9.427.514.076;786;1.025.597.215
785;9.449.701.309;785;1.024.467.707
784;9.415.916.443;784;1.024.235.606
783;944.719.696;783;1.024.349.809
782;9.445.320.129;782;1.025.306.821
781;9.471.942.902;781;1.024.834.514
780;9.443.454.742;780;1.023.347.735
779;9.460.902.214;779;1.023.110.271
778;9.461.045.265;778;102.342.689
777;9.453.210.831;777;1.023.003.817
776;9.493.743.896;776;1.022.591.591
775;9.464.582.443;775;1.023.291.826
774;9.471.960.068;774;1.022.949.457
773;9.482.622.147;773;1.022.965.312
772;9.511.021.614;772;1.019.897.461
771;9.492.336.273;771;1.021.122.217
770;9.507.462.502;770;102.167.654
769;9.513.993.263;769;1.020.663.381
768;95.259.552;768;1.021.488.547
767;9.544.668.198;767;1.019.884.825
766;9.530.233.383;766;1.018.805.981
765;9.533.537.865;765;1.020.417.452
764;95.548.563;764;1.019.978.046
763;9.535.437.584;763;1.019.011.855
762;9.560.243.607;762;1.019.281.268
761;9.541.570.663;761;1.018.349.528
760;956.193.161;760;1.018.216.729
759;9.579.021.454;759;1.018.181.324
758;958.138.752;758;1.017.139.912
757;9.602.698.326;757;1.017.296.553
756;9.604.071.617;756;1.016.704.559
755;9.588.459.969;755;1.017.062.783
754;9.592.485.428;754;1.016.901.851
753;9.610.042.572;753;1.016.565.681
752;9.607.163.429;752;1.016.331.911
751;9.597.129.822;751;101.622.498
750;9.620.560.646;750;1.015.829.325
749;9.650.424.004;749;1.016.011
748;9.631.094.933;748;1.015.855.312
747;9.645.058.632;747;101.464.808
746;9.639.414.787;746;1.015.777.946
745;9.631.479.263;745;1.015.504.599
744;9.642.745.972;744;101.516.521
743;9.623.782.158;743;101.539.433
742;963.232.708;742;1.015.004.992
741;9.637.630.463;741;1.015.232.325
740;9.649.694.443;740;1.015.199.304
739;9.659.383.774;739;1.013.975.501
738;9.657.946.587;738;101.372.087
737;963.757.515;737;1.014.998.436
736;9.650.492.668;736;1.013.933.778
735;9.650.468.826;735;1.015.027.642
734;965.555.191;734;1.014.378.905
733;9.645.195.007;733;1.015.220.642
732;9.626.441.956;732;1.015.574.694
731;9.644.953.728;731;1.015.003.562
730;9.632.634.163;730;1.015.510.559
