Baseline 100%T;;sample1;;sample3;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
800;1.795.416.832;800;-0.8439093828;800;4.019.684.315
799;1.789.840.698;799;-0.8402041197;799;4.018.728.733
798;1.791.222.095;798;-0.8412028551;798;4.018.903.732
797;1.787.914.038;797;-0.8399704099;797;4.018.271.923
796;1.784.642.696;796;-0.8360319138;796;4.017.466.545
795;1.786.936.283;795;-0.8386371136;795;4.017.639.637
794;1.785.524.964;794;-0.8370703459;794;4.017.138.004
793;1.784.197.807;793;-0.8354093432;793;4.016.787.529
792;1.786.060.333;792;-0.8377184868;792;4.016.383.171
791;1.781.947.494;791;-0.834671855;791;4.015.444.279
790;1.783.057.332;790;-0.835454464;790;4.015.711.308
789;1.783.916.354;789;-0.8369698524;789;4.016.842.365
788;1.782.364.845;788;-0.8349308968;788;4.015.626.431
787;1.781.183.124;787;-0.8337204456;787;4.015.076.637
786;1.782.078.624;786;-0.8361253142;786;4.015.152.931
785;1.780.375.123;785;-0.8339850903;785;4.015.161.037
784;1.779.109.716;784;-0.8331183195;784;4.014.126.778
783;1.777.879.596;783;-0.8319439888;783;4.014.159.679
782;1.775.721.669;782;-0.8303158879;782;4.013.205.051
781;1.776.936.769;781;-0.8319464326;781;4.013.816.357
780;1.773.450.971;780;-0.8284896612;780;4.013.020.515
779;1.774.186.015;779;-0.828395009;779;4.013.427.734
778;1.775.142.074;778;-0.8310034275;778;4.013.270.378
777;1.774.852.753;777;-0.8303940296;777;4.012.223.244
776;1.774.030.566;776;-0.8294394612;776;4.012.987.137
775;1.774.817.824;775;-0.8309484124;775;4.011.801.243
774;1.772.772.551;774;-0.8286070228;774;4.011.654.377
773;1.773.625.135;773;-0.8302949071;773;4.011.133.671
772;1.771.237.373;772;-0.8279995918;772;401.138.258
771;1.772.002.935;771;-0.8283911347;771;4.010.910.511
770;1.770.983.696;770;-0.8274326921;770;4.010.544.777
769;1.770.647.287;769;-0.8280048966;769;4.010.248.184
768;1.769.786;768;-0.8263435364;768;4.010.258.675
767;1.769.101.381;767;-0.8256974816;767;4.010.615.826
766;176.674.366;766;-0.8248111606;766;4.010.591.984
765;1.768.595.338;765;-0.8268120289;765;4.010.890.961
764;1.767.279.387;764;-0.8255303502;764;4.009.767.056
763;1.766.133.189;763;-0.8245779276;763;4.008.911.133
762;1.766.171.813;762;-0.8245103359;762;4.009.014.606
761;1.764.012.575;761;-0.822696805;761;400.922.823
760;1.764.314.413;760;-0.823320508;760;4.008.966.923
759;1.763.289.332;759;-0.8214905858;759;400.886.488
758;1.763.691.068;758;-0.8227657676;758;4.007.894.516
757;1.761.345.387;757;-0.8203077316;757;4.007.971.287
756;1.762.135.863;756;-0.8209007978;756;4.007.999.897
755;1.760.195.374;755;-0.8188619018;755;4.008.883.953
754;1.758.005.738;754;-0.8175470233;754;4.008.011.341
753;1.759.511.709;753;-0.8195158839;753;4.007.256.508
752;175.769.949;752;-0.8178645968;752;4.007.655.144
751;1.758.342.028;751;-0.8191640377;751;4.007.649.422
750;1.757.266.641;750;-0.8178376555;750;4.007.258.415
749;1.756.852.269;749;-0.8166784048;749;4.006.670.952
748;1.755.731.821;748;-0.815997839;748;400.707.531
