sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
800;0.8047565222;800;1.578.822.994
799;0.8047251701;799;1.576.573.849
798;0.803694129;798;1.581.057.644
797;0.8036902547;797;1.584.670.258
796;0.8032102585;796;1.584.714.985
795;0.8028950691;795;1.583.743.382
794;0.8024896383;794;1.587.622.738
793;0.8010886908;793;1.592.195.797
792;0.8009746671;792;15.851.264
791;0.8012549281;791;1.587.517.452
790;0.8014549017;790;1.587.669.659
789;0.8001663089;789;159.334.898
788;0.8018125892;788;1.592.444.038
787;0.7999356389;787;1.589.910.793
786;0.7997910976;786;1.590.546.036
785;0.7996295094;785;1.593.938.637
784;0.7990910411;784;1.596.268.845
783;0.7989284992;783;1.594.290.447
782;0.7980700135;782;1.597.319.508
781;0.7977127433;781;1.599.949.932
780;0.7987779379;780;1.603.228.378
779;0.797511816;779;1.600.575.066
778;0.7965074778;778;1.601.641.846
777;0.7976213098;777;1.602.323.341
776;0.7957932353;776;1.605.378.914
775;0.7952789068;775;1.607.174.873
774;0.795625031;774;1.605.606.651
773;0.7960330844;773;1.607.620.811
772;0.7955283523;772;1.610.080.528
771;0.7964101434;771;1.609.162.331
770;0.7947256565;770;1.615.393.448
769;0.7943155169;769;1.615.497.971
768;0.7940912843;768;1.615.661.812
767;0.7932599187;767;1.619.909.096
766;0.7934648991;766;1.623.285.294
765;0.7938517928;765;1.619.603.729
764;0.7928473353;764;1.619.060.707
763;0.7923476696;763;1.621.295.166
762;0.7927159667;762;1.623.935.318
761;0.7924724221;761;1.622.023.773
760;0.7918160558;760;1.623.783.112
759;0.7909638286;759;1.627.929.306
758;0.7909963727;758;1.628.628.922
757;0.7902091146;757;1.630.168.724
756;0.7901288271;756;1.631.529.999
755;0.7899329066;755;1.629.945.564
754;0.7895637155;754;1.632.099.533
753;0.788955152;753;163.712.883
752;0.7880277634;752;1.640.477.562
751;0.7885973454;751;1.638.280.106
750;0.7872405648;750;1.639.532.661
749;0.7869009972;749;1.641.351.509
748;0.786783278;748;1.639.752.007
747;0.7864165902;747;1.643.307.304
746;0.7866277099;746;1.639.808.846
745;0.7869564891;745;1.644.455.147
744;0.786060214;744;1.643.799.782
743;0.7863376737;743;1.648.860.741
742;0.7850410342;742;1.648.292.542
741;0.7853865623;741;1.648.216.057
740;0.7839391828;740;1.654.042.053
739;0.7843171954;739;1.654.390.144
738;0.7835316658;738;1.657.689.857
737;0.7833039761;737;1.654.403.305
736;0.7836330533;736;165.750.103
735;0.7828397155;735;1.657.082.558
734;0.7822475433;734;1.659.864.044
733;0.7816377282;733;1.660.021.782
732;0.7821736336;732;1.661.138.535
731;0.7803552151;731;1.664.277.077
730;0.7806869745;730;1.665.167.427
729;0.7800812721;729;1.668.649.673
728;0.7790322304;728;1.670.381.927
727;0.779746592;727;1.672.418.404
726;0.7783968449;726;1.672.125.816
725;0.778342247;725;1.675.250.626
724;0.7782369256;724;1.675.482.559
723;0.7771953344;723;1.679.705.238
722;0.7764761448;722;1.679.693.604
721;0.7761763334;721;1.682.219.124
720;0.7755966187;720;1.686.814.308
719;0.7756829858;719;1.687.050.819
718;0.7748581171;718;1.688.928.223
717;0.7742335796;717;1.691.270.447
716;0.7743971944;716;1.690.615.082
715;0.7735341191;715;169.340.744
714;0.773111701;714;1.697.231.102
713;0.7726914287;713;1.696.672.058
712;0.7729840279;712;1.697.952.461
711;0.772015512;711;1.696.452.713
710;0.771933496;710;1.702.929.115
709;0.7718017697;709;1.701.206.779
708;0.7710574865;708;1.700.529.099
707;0.7705230117;707;1.702.542.686
706;0.770250082;706;1.705.535.126
705;0.7700583935;705;1.709.421.158
704;0.7698484659;704;1.705.124.092
703;0.7697916627;703;1.706.423.378
702;0.7690652609;702;1.712.102.318
701;0.7678937912;701;171.393.261
700;0.7688168883;700;1.713.224.792
699;0.7672203779;699;1.717.693.329
698;0.7681267262;698;1.714.398.003
697;0.7672670484;697;1.721.385.956
696;0.767241776;696;1.720.531.082
695;0.7665967941;695;1.721.594.238
694;0.7664151192;694;1.723.863.983
693;0.7653884292;693;1.725.633.621
692;0.7649991512;692;1.727.865.791
691;0.7651623487;691;1.726.501.083
690;0.7642470598;690;1.729.718.208
689;0.764023602;689;1.730.689.812
688;0.763348639;688;1.731.887.436
687;0.7635771036;687;1.734.958.267
686;0.7630550265;686;173.354.435
685;0.7625485063;685;1.738.402.939
684;0.7617259026;684;1.738.431.549
683;0.7617546916;683;1.739.360.046
682;0.7615132332;682;1.740.082.169
681;0.7617444992;681;174.141.674
680;0.7606629133;680;1.743.726.349
679;0.7605050206;679;1.742.964.745
678;0.7596133351;678;1.748.429.298
677;0.7596994042;677;1.749.705.124
676;0.7589740157;676;1.748.465.919
675;0.7591421604;675;175.070.343
674;0.7589208484;674;1.752.249.908
673;0.7584238052;673;1.754.270.363
672;0.7584195137;672;1.751.818.657
671;0.7578295469;671;1.754.833.221
670;0.7573692799;670;1.755.621.338
669;0.757378459;669;1.755.254.364
668;0.7568750978;668;1.758.199.501
667;0.7565029263;667;1.759.490.395
666;0.7570471168;666;1.761.532.021
665;0.7556205392;665;1.762.237.549
664;0.7559725046;664;1.763.856.316
663;0.7553384304;663;1.764.271.927
662;0.7554708719;662;1.769.177.818
661;0.7542105317;661;1.769.761.658
660;0.7535569072;660;1.770.570.374
659;0.7534713745;659;1.774.033.356
658;0.7533761263;658;1.771.658.897
657;0.7527529001;657;1.773.720.741
656;0.7529068589;656;1.775.889.969
655;0.7527222037;655;1.776.796.913
654;0.7517815232;654;1.779.408.455
653;0.7513357997;653;1.777.852.249
652;0.7510904074;652;1.783.491.707
651;0.7511167526;651;178.502.655
650;0.7506090999;650;178.456.955
649;0.7499861121;649;1.787.104.225
648;0.7499514818;648;1.789.360.237
647;0.7494277954;647;1.790.461.159
646;0.7488427758;646;1.790.419.006
645;0.7484557033;645;179.357.872
644;0.7485866547;644;1.796.846.199
643;0.74755162;643;1.794.439.888
642;0.747710824;642;1.796.321.106
641;0.7471855283;641;1.798.637.772
640;0.746897161;640;1.799.878.311
639;0.7457551956;639;1.801.193.237
638;0.7461784482;638;1.804.236.031
637;0.7456712127;637;1.806.802.559
636;0.7448969483;636;1.807.270.241
635;0.7448453307;635;1.809.951.591
634;0.7447010875;634;1.810.526.466
633;0.7437512279;633;1.812.442.017
632;0.7435610294;632;1.813.740.921
631;0.7437051535;631;1.814.525.986
630;0.7429534197;630;1.816.721.725
629;0.7422258258;629;1.818.507.957
628;0.7423269153;628;1.819.434.547
627;0.7416794896;627;1.821.236.992
626;0.7413732409;626;1.823.668.861
625;0.7413944602;625;1.823.694.229
624;0.7402358055;624;1.827.274.895
623;0.7400366068;623;1.829.780.197
622;0.7394415736;622;1.829.965.782
621;0.7391338944;621;1.831.251.717
620;0.7390519977;620;1.831.541.061
619;0.738448143;619;1.832.460.213
618;0.737434864;618;1.835.801.506
617;0.7376013398;617;1.837.356.377
616;0.7370465398;616;1.839.914.703
615;0.7370880842;615;1.841.623.688
614;0.7364714742;614;1.841.818.619
613;0.7358560562;613;1.845.262.718
612;0.7356707454;612;1.846.381.569
611;0.7355206609;611;1.847.055.054
610;0.7348253727;610;1.851.351.547
609;0.7345027924;609;1.851.212.311
608;0.7335916162;608;185.431.385
607;0.7337384224;607;1.853.057.671
606;0.732878387;606;185.684.433
605;0.7322700024;605;1.859.478.188
604;0.73231107;604;1.858.787.918
603;0.7317926884;603;1.863.368.607
602;0.7313938141;602;1.863.340.569
601;0.730969131;601;1.864.657.784
600;0.7305070162;600;1.867.548.943
599;0.7295745611;599;1.869.799.995
598;0.7302114964;598;1.871.222.305
597;0.7288547754;597;1.874.879.837
596;0.7289438844;596;1.874.021.721
595;0.7285778522;595;1.875.078.773
594;0.7280034423;594;1.880.773.544
593;0.7276796699;593;1.880.815.887
592;0.7268970013;592;1.884.398.651
591;0.7268072367;591;1.885.540.771
590;0.7261608243;590;1.885.677.528
589;0.7260370851;589;18.892.519
588;0.7255170345;588;1.890.056.419
587;0.7246178389;587;1.895.332.527
586;0.7241421342;586;1.894.761.848
585;0.7235402465;585;1.898.668.861
584;0.7234559059;584;1.898.289.299
583;0.7227768898;583;1.902.441.216
582;0.7217028737;582;1.903.749.657
581;0.721624732;581;1.907.011.032
580;0.7210578322;580;1.908.472.252
579;0.7208266854;579;1.911.910.248
578;0.7201482654;578;1.914.562.225
577;0.7198260427;577;1.915.225.601
576;0.7190048695;576;1.918.906.212
575;0.7183136344;575;1.920.983.696
574;0.717884481;574;1.923.175.049
573;0.717392385;573;1.923.330.879
572;0.7165923119;572;1.927.809.334
571;0.7165777087;571;1.927.912.521
570;0.7156692147;570;1.932.192.612
569;0.7149765491;569;1.935.816.193
568;0.7148189545;568;1.937.200.737
567;0.7138369083;567;1.940.665.627
566;0.7136287689;566;1.942.064.095
565;0.712644279;565;1.945.807.266
564;0.7123880982;564;1.948.618.698
563;0.711609304;563;1.950.043.297
562;0.7111948133;562;1.952.305.984
561;0.7106396556;561;1.955.529.022
560;0.7098144889;560;1.958.120.728
559;0.7094303966;559;1.959.311.676
558;0.7088040113;558;1.963.938.713
557;0.7084207535;557;1.965.127.182
556;0.7076703906;556;1.968.074.989
555;0.7066121101;555;1.973.686.981
554;0.7066316605;554;1.973.928.452
553;0.7059716582;553;1.977.267.456
552;0.7046306133;552;1.981.445.885
551;0.7044294477;551;1.982.591.438
550;0.7036687732;550;1.986.618.042
549;0.7029970884;549;1.991.308.403
548;0.7020051479;548;1.995.087.242
547;0.7012786269;547;1.998.456.001
546;0.700763762;546;1.999.297.523
545;0.6998587847;545;2.004.113.579
544;0.6990593076;544;2.006.285.477
543;0.6985481977;543;2.009.885.788
542;0.69826442;542;2.012.731.361
541;0.6971117854;541;2.016.936.111
540;0.6965517402;540;2.019.223.213
539;0.6958124638;539;20.212.883
538;0.6953573823;538;2.024.147.797
537;0.6950660944;537;202.767.334
