sample3,,sample4,,
Wavelength (nm),%R,Wavelength (nm),Abs,
800,9.33614254,800,1.029862761,
799,9.36677742,799,1.028105855,
798,9.369363785,798,1.027761221,
797,9.397416115,797,1.027444124,
796,9.359018326,796,1.027670264,
795,9.371596336,795,1.026569009,
794,9.385168076,794,1.026805162,
793,9.401832581,793,1.027936697,
792,9.374412537,792,1.025943518,
791,9.383859634,791,1.0264678,
790,9.3960886,790,1.027440906,
789,9.411147118,789,1.025572419,
788,9.406199455,788,1.025520682,
787,9.393787384,787,1.026164293,
786,9.427514076,786,1.025597215,
785,9.449701309,785,1.024467707,
784,9.415916443,784,1.024235606,
783,9.44719696,783,1.024349809,
782,9.445320129,782,1.025306821,
781,9.471942902,781,1.024834514,
780,9.443454742,780,1.023347735,
779,9.460902214,779,1.023110271,
778,9.461045265,778,1.02342689,
777,9.453210831,777,1.023003817,
776,9.493743896,776,1.022591591,
775,9.464582443,775,1.023291826,
774,9.471960068,774,1.022949457,
773,9.482622147,773,1.022965312,
772,9.511021614,772,1.019897461,
771,9.492336273,771,1.021122217,
770,9.507462502,770,1.02167654,
769,9.513993263,769,1.020663381,
768,9.5259552,768,1.021488547,
767,9.544668198,767,1.019884825,
766,9.530233383,766,1.018805981,
765,9.533537865,765,1.020417452,
764,9.5548563,764,1.019978046,
763,9.535437584,763,1.019011855,
762,9.560243607,762,1.019281268,
761,9.541570663,761,1.018349528,
760,9.56193161,760,1.018216729,
759,9.579021454,759,1.018181324,
758,9.58138752,758,1.017139912,
757,9.602698326,757,1.017296553,
756,9.604071617,756,1.016704559,
755,9.588459969,755,1.017062783,
754,9.592485428,754,1.016901851,
753,9.610042572,753,1.016565681,
752,9.607163429,752,1.016331911,
751,9.597129822,751,1.01622498,
750,9.620560646,750,1.015829325,
749,9.650424004,749,1.016011,
748,9.631094933,748,1.015855312,
747,9.645058632,747,1.01464808,
746,9.639414787,746,1.015777946,
745,9.631479263,745,1.015504599,
744,9.642745972,744,1.01516521,
743,9.623782158,743,1.01539433,
742,9.63232708,742,1.015004992,
741,9.637630463,741,1.015232325,
740,9.649694443,740,1.015199304,
739,9.659383774,739,1.013975501,
738,9.657946587,738,1.01372087,
737,9.63757515,737,1.014998436,
736,9.650492668,736,1.013933778,
735,9.650468826,735,1.015027642,
734,9.65555191,734,1.014378905,
733,9.645195007,733,1.015220642,
732,9.626441956,732,1.015574694,
731,9.644953728,731,1.015003562,
730,9.632634163,730,1.015510559,
729,9.620436668,729,1.016826272,
728,9.63329792,728,1.015119791,
727,9.629638672,727,1.017080307,
726,9.623167038,726,1.016386747,
725,9.582037926,725,1.016649127,
724,9.583263397,724,1.016964078,
723,9.585813522,723,1.018381715,
722,9.585259438,722,1.018117666,
721,9.581812859,721,1.018905401,
720,9.56485939,720,1.019175172,
